asn,ip,timestamp,malware,src_port,dst_ip,dst_port,dst_host,proto
37187,197.211.119.244,24/12/2025 14:02,android.vo1d2,56379,188.40.187.142,55590,,tcp
37440,105.234.177.248,24/12/2025 21:51,m0yv,1290,85.214.228.140,80,dlynankz.biz,tcp
37440,105.234.179.94,24/12/2025 19:16,m0yv,7754,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.4.108,24/12/2025 16:29,m0yv,5674,85.214.228.140,80,dlynankz.biz,tcp
37294,102.70.92.187,24/12/2025 7:17,android.vo1d2,18509,188.40.187.142,55590,,tcp
37713,41.78.219.20,24/12/2025 17:21,m0yv,54242,85.214.228.140,80,dlynankz.biz,tcp
37187,197.211.119.209,24/12/2025 16:20,android.vo1d2,57283,188.40.187.142,55590,,tcp
37440,137.115.2.163,24/12/2025 9:05,m0yv,25243,85.214.228.140,80,dlynankz.biz,tcp
37440,105.234.181.141,24/12/2025 20:47,m0yv,9428,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.3.116,24/12/2025 10:14,m0yv,3647,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.4.53,24/12/2025 3:11,m0yv,6586,85.214.228.140,80,dlynankz.biz,tcp
37440,105.234.181.82,24/12/2025 7:43,m0yv,7839,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.2.76,24/12/2025 18:45,m0yv,1564,85.214.228.140,80,dlynankz.biz,tcp
37440,105.234.181.42,24/12/2025 5:13,m0yv,17,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.10.2,24/12/2025 23:42,m0yv,21073,85.214.228.140,80,dlynankz.biz,tcp
37440,137.196.0.16,24/12/2025 18:30,m0yv,24136,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.3.212,24/12/2025 19:35,m0yv,21863,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.2.172,24/12/2025 21:17,m0yv,7559,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.8.208,24/12/2025 13:25,m0yv,2469,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.8.149,24/12/2025 13:26,m0yv,2808,85.214.228.140,80,dlynankz.biz,tcp
36969,41.87.16.235,24/12/2025 8:25,android.vo1d2,42385,188.40.187.142,55590,,tcp
37440,137.115.3.87,24/12/2025 8:35,m0yv,5422,85.214.228.140,80,dlynankz.biz,tcp
37187,197.211.119.78,24/12/2025 9:30,android.vo1d2,43884,188.40.187.142,55590,,tcp
36969,41.87.16.231,24/12/2025 9:07,android.vo1d2,41043,188.40.187.142,55590,,tcp
37294,102.70.95.178,24/12/2025 11:11,android.vo1d2,59045,188.40.187.142,55590,,tcp
37440,137.115.4.114,24/12/2025 10:01,m0yv,23027,85.214.228.140,80,dlynankz.biz,tcp
36969,41.87.16.133,24/12/2025 13:23,android.vo1d2,44594,188.40.187.142,55590,,tcp
37440,137.115.7.137,24/12/2025 11:26,m0yv,3158,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.11.119,24/12/2025 18:58,vipersoftx,5594,195.201.179.203,80,fspjvaly.com,tcp
37294,102.70.89.21,24/12/2025 4:43,android.vo1d2,34914,188.40.187.142,55590,,tcp
37440,137.115.10.72,24/12/2025 20:18,m0yv,4840,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.8.145,24/12/2025 19:54,m0yv,2643,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.6.120,24/12/2025 16:38,m0yv,5423,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.2.253,24/12/2025 22:29,m0yv,118,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.7.249,24/12/2025 10:14,m0yv,4188,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.2.181,24/12/2025 20:51,m0yv,654,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.3.89,24/12/2025 23:31,android.vo1d2,21120,188.40.187.142,55590,,tcp
36969,41.87.16.214,24/12/2025 17:27,android.vo1d2,47067,188.40.187.142,55590,,tcp
37440,105.234.177.76,24/12/2025 23:13,android.vo1d2,7527,188.40.187.142,55590,,tcp
37440,137.115.2.134,24/12/2025 17:33,m0yv,2903,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.4.97,24/12/2025 8:23,m0yv,4798,85.214.228.140,80,dlynankz.biz,tcp
37294,102.70.117.52,24/12/2025 7:57,android.vo1d2,2259,188.40.187.142,55590,,tcp
37440,137.115.4.165,24/12/2025 11:36,m0yv,735,85.214.228.140,80,dlynankz.biz,tcp
37440,105.234.160.18,24/12/2025 14:05,m0yv,2064,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.8.166,24/12/2025 13:53,m0yv,204,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.5.217,24/12/2025 10:01,m0yv,22233,85.214.228.140,80,dlynankz.biz,tcp
37440,105.234.178.159,24/12/2025 14:21,m0yv,4570,85.214.228.140,80,dlynankz.biz,tcp
37294,102.70.117.193,24/12/2025 9:37,android.vo1d2,51097,188.40.187.142,55590,,tcp
37440,105.234.179.133,24/12/2025 18:16,m0yv,11439,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.8.182,24/12/2025 21:01,m0yv,2152,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.8.193,24/12/2025 17:43,m0yv,1355,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.2.243,24/12/2025 17:40,m0yv,23869,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.6.236,24/12/2025 20:15,m0yv,5409,85.214.228.140,80,dlynankz.biz,tcp
37440,137.64.0.19,24/12/2025 11:08,vipersoftx,8337,195.201.179.203,80,usbmwnacl.com,tcp
37440,137.115.2.100,24/12/2025 22:10,m0yv,10482,85.214.228.140,80,dlynankz.biz,tcp
37440,137.196.0.10,24/12/2025 12:38,m0yv,33161,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.5.82,24/12/2025 15:15,m0yv,233,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.6.127,24/12/2025 6:07,android.vo1d2,200,188.40.187.142,55590,,tcp
37440,137.115.11.44,24/12/2025 11:01,m0yv,24079,85.214.228.140,80,dlynankz.biz,tcp
37440,105.234.177.61,24/12/2025 12:25,m0yv,901,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.6.28,24/12/2025 6:15,m0yv,5459,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.2.236,24/12/2025 10:09,m0yv,147,85.214.228.140,80,dlynankz.biz,tcp
